Intervalle,bbq_ckn,big_meat,brie_carre,calabrese,cali_ckn,ckn_alfredo,ckn_pesto,classic_dlx,five_cheese,four_cheese,green_garden,hawaiian,ital_cpcllo,ital_supr,ital_veggie,mediterraneo,mexicana,napolitana,pep_msh_pep,pepperoni,peppr_salami,prsc_argla,sicilian,soppressata,southw_ckn,spicy_ital,spin_pesto,spinach_fet,spinach_supr,thai_ckn,the_greek,veggie_veg
14:01-14:30,92.0,90.0,22.0,31.0,109.0,29.0,37.0,103.0,57.0,85.0,39.0,109.0,59.0,61.0,47.0,40.0,46.0,57.0,41.0,95.0,58.0,46.0,83.0,46.0,85.0,86.0,40.0,55.0,27.0,92.0,52.0,66.0
14:31-15:00,84.0,57.0,16.0,35.0,79.0,27.0,31.0,73.0,61.0,52.0,32.0,84.0,53.0,65.0,35.0,27.0,39.0,48.0,47.0,80.0,57.0,47.0,71.0,25.0,52.0,58.0,24.0,44.0,30.0,86.0,47.0,62.0
15:01-15:30,84.0,50.0,19.0,34.0,62.0,35.0,25.0,75.0,36.0,68.0,39.0,79.0,45.0,60.0,22.0,37.0,49.0,48.0,50.0,69.0,63.0,32.0,63.0,29.0,61.0,75.0,28.0,41.0,34.0,75.0,48.0,44.0
15:31-16:00,83.0,61.0,17.0,34.0,75.0,33.0,37.0,87.0,43.0,72.0,38.0,71.0,44.0,74.0,36.0,27.0,53.0,45.0,47.0,67.0,44.0,49.0,55.0,35.0,66.0,55.0,26.0,55.0,21.0,66.0,39.0,44.0
16:01-16:30,104.0,92.0,15.0,31.0,74.0,40.0,35.0,92.0,48.0,61.0,34.0,101.0,65.0,66.0,36.0,32.0,58.0,55.0,63.0,111.0,57.0,66.0,82.0,36.0,75.0,82.0,44.0,70.0,52.0,104.0,67.0,55.0
16:31-17:00,98.0,78.0,26.0,49.0,120.0,48.0,33.0,121.0,61.0,98.0,44.0,113.0,75.0,95.0,46.0,44.0,77.0,66.0,41.0,100.0,68.0,63.0,76.0,46.0,103.0,79.0,52.0,67.0,43.0,114.0,57.0,63.0
17:01-17:30,133.0,105.0,33.0,47.0,109.0,61.0,54.0,113.0,59.0,88.0,40.0,119.0,76.0,87.0,45.0,57.0,75.0,76.0,78.0,120.0,70.0,81.0,93.0,56.0,108.0,114.0,45.0,75.0,51.0,111.0,76.0,88.0
17:31-18:00,150.0,116.0,25.0,48.0,133.0,49.0,44.0,140.0,67.0,107.0,54.0,147.0,77.0,99.0,48.0,44.0,91.0,90.0,77.0,132.0,65.0,70.0,100.0,48.0,103.0,97.0,58.0,81.0,55.0,119.0,74.0,87.0
18:01-18:30,127.0,97.0,21.0,49.0,129.0,45.0,61.0,147.0,79.0,95.0,53.0,140.0,72.0,97.0,58.0,54.0,68.0,73.0,72.0,149.0,80.0,74.0,104.0,49.0,116.0,116.0,52.0,69.0,59.0,134.0,75.0,83.0
18:31-19:00,147.0,108.0,26.0,53.0,126.0,48.0,50.0,140.0,71.0,89.0,62.0,134.0,79.0,95.0,55.0,58.0,96.0,72.0,67.0,119.0,81.0,76.0,104.0,55.0,97.0,111.0,51.0,81.0,51.0,138.0,87.0,84.0
19:01-19:30,115.0,89.0,22.0,43.0,106.0,43.0,50.0,99.0,81.0,85.0,54.0,99.0,52.0,80.0,43.0,45.0,66.0,60.0,66.0,108.0,76.0,74.0,99.0,44.0,79.0,73.0,48.0,79.0,40.0,116.0,76.0,63.0
19:31-20:00,93.0,86.0,20.0,38.0,113.0,45.0,35.0,84.0,73.0,85.0,45.0,82.0,54.0,108.0,39.0,38.0,73.0,65.0,62.0,108.0,64.0,75.0,75.0,49.0,76.0,70.0,37.0,53.0,44.0,96.0,66.0,58.0
20:01-20:30,86.0,74.0,13.0,41.0,103.0,53.0,34.0,97.0,53.0,71.0,38.0,98.0,57.0,72.0,43.0,43.0,46.0,60.0,48.0,107.0,52.0,52.0,73.0,31.0,61.0,78.0,31.0,68.0,42.0,98.0,51.0,63.0
20:31-21:00,73.0,51.0,19.0,24.0,89.0,29.0,26.0,73.0,45.0,71.0,46.0,71.0,52.0,60.0,34.0,31.0,50.0,43.0,47.0,84.0,53.0,42.0,58.0,22.0,59.0,60.0,25.0,47.0,30.0,70.0,46.0,51.0
21:01-21:30,77.0,44.0,13.0,27.0,70.0,30.0,34.0,64.0,35.0,52.0,26.0,71.0,27.0,56.0,31.0,20.0,44.0,57.0,49.0,81.0,37.0,41.0,62.0,24.0,55.0,55.0,32.0,46.0,24.0,56.0,51.0,49.0
21:31-22:00,60.0,44.0,10.0,20.0,43.0,31.0,27.0,61.0,30.0,37.0,19.0,40.0,30.0,49.0,14.0,21.0,35.0,32.0,30.0,36.0,26.0,38.0,41.0,27.0,45.0,47.0,22.0,25.0,20.0,60.0,37.0,40.0
22:01-22:30,54.0,31.0,9.0,23.0,47.0,30.0,23.0,51.0,25.0,28.0,24.0,40.0,30.0,50.0,14.0,19.0,31.0,23.0,27.0,46.0,31.0,21.0,33.0,18.0,39.0,35.0,27.0,20.0,28.0,49.0,24.0,26.0
22:31-23:00,16.0,11.0,1.0,9.0,14.0,3.0,8.0,16.0,11.0,17.0,5.0,14.0,9.0,10.0,6.0,6.0,15.0,10.0,17.0,20.0,8.0,21.0,17.0,9.0,13.0,13.0,17.0,12.0,12.0,16.0,14.0,11.0
23:01-23:30,4.0,3.0,0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,0,4.0,1.0,0,2.0,4.0,0,2.0,4.0,7.0,3.0,1.0,1.0,2.0,1.0,4.0
23:31-00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
